q1,q2,p
Why are some people cynical?,Why are people so cynical?,1
Which online coaching institute is best for CAT Preparation?,What is best online coaching institute for CAT?,1
How can I work with my ex-girlfriend?,How do I work with my ex girlfriend?,1
Why Cyrus Mistry has been removed from Tata Group?,Why TATA sons replaced Cyrus Mistry to Ratan TATA?,1
What is a new business to start with less investment?,What are some new business ideas with lesser investment?,1
What is meant by surgical strike?,What is a surgical strike?,1
How many people use Quora in the UK?,How many people in the UK are using Quora?,1
"Is being ""different"" a bad thing?",Is being different a bad thing?,1
How many people use Quora in the UK?,How many people in the UK are using Quora?,1
How do I deal with rude teammates/colleagues?,How do I deal with a rude work colleague?,1
Which is the Best Packers and Movers in Bangalore?,Who are the best packers in Bengaluru?,1
Which is the best app to make anonymous call online?,Which is the best app for making anonymous call online?,1
What does a chemical engineer do?,What kind of work does a chemical engineer do?,1
Where is Julian Assange right now?,Where is Julian Assange?,1
How can I soften a hard voice?,How can I soften my voice?,1
How is Narendra Modi as a person?,How is it to meet Narendra Modi?,1
What are some dirty secrets of Bollywood?,What are some Dirty secrets of Bollywood industry?,1
What is it like having a kidney stone?,What is a kidney stone?,1
